class,inst,l/t,cpi,ipc
"reg64","add","latency","1.000611e+00","9.993895e-01"
"reg64","add","throughput","2.129362e-01","4.696243e+00"
"reg64","lea","latency","1.693897e-01","5.903546e+00"
"reg64","lea","throughput","1.695912e-01","5.896533e+00"
"reg64","xor dst,dst","latency","1.695188e-01","5.899050e+00"
"reg64","xor dst,dst","throughput","1.698017e-01","5.889222e+00"
"reg64","xor","latency","1.700894e-01","5.879262e+00"
"reg64","xor","throughput","1.695464e-01","5.898092e+00"
"reg64","load","latency","5.001228e+00","1.999509e-01"
"reg64","load","throughput","6.251241e-01","1.599682e+00"
"reg64","crc32","latency","3.000586e+00","3.332683e-01"
"reg64","crc32","throughput","1.000192e+00","9.998082e-01"
"reg64","store [mem+0]->load[mem+0]","latency","7.421420e+00","1.347451e-01"
"reg64","store [mem+0]->load[mem+0]","throughput","1.224604e+00","8.165907e-01"
"reg64","store [mem+0]->load[mem+1]","latency","2.005183e+01","4.987077e-02"
"reg64","store [mem+0]->load[mem+1]","throughput","1.500305e+01","6.665312e-02"
"m128","pxor","latency","1.720810e-01","5.811217e+00"
"m128","pxor","throughput","1.713674e-01","5.835414e+00"
"m128","padd","latency","1.000221e+00","9.997786e-01"
"m128","padd","throughput","3.333761e-01","2.999615e+00"
"m128","pmuldq","latency","5.000835e+00","1.999666e-01"
"m128","pmuldq","throughput","5.000350e-01","1.999860e+00"
"m128","loadps","throughput","5.036447e-01","1.985527e+00"
"m128","loadps->movq","latency","8.001051e+00","1.249836e-01"
"m128","movq->movq","latency","4.000715e+00","2.499553e-01"
"m128","movq->movq","throughput","1.000480e+00","9.995198e-01"
"m128","xorps","latency","1.723870e-01","5.800901e+00"
"m128","xorps","throughput","1.715613e-01","5.828819e+00"
"m128","addps","latency","2.000264e+00","4.999340e-01"
"m128","addps","throughput","5.000627e-01","1.999749e+00"
"m128","mulps","latency","4.000517e+00","2.499677e-01"
"m128","mulps","throughput","5.000485e-01","1.999806e+00"
"m128","divps","latency","1.100216e+01","9.089124e-02"
"m128","divps","throughput","3.000393e+00","3.332897e-01"
"m128","divpd","latency","1.300165e+01","7.691331e-02"
"m128","divpd","throughput","4.000690e+00","2.499569e-01"
"m128","rsqrtps","latency","4.000486e+00","2.499696e-01"
"m128","rsqrtps","throughput","1.000193e+00","9.998074e-01"
"m128","rcpps","latency","4.001329e+00","2.499170e-01"
"m128","rcpps","throughput","1.000295e+00","9.997051e-01"
"m128","blendps","latency","1.000297e+00","9.997032e-01"
"m128","blendps","throughput","3.340041e-01","2.993975e+00"
"m128","blendvps","latency","1.000168e+00","9.998315e-01"
"m128","blendvps","throughput","3.399989e-01","2.941186e+00"
"m128","pshufb","latency","1.000289e+00","9.997112e-01"
"m128","pshufb","throughput","5.001996e-01","1.999202e+00"
"m128","shufps","latency","1.000167e+00","9.998332e-01"
"m128","shufps","throughput","5.000708e-01","1.999717e+00"
"m128","pmullw","latency","5.000650e+00","1.999740e-01"
"m128","pmullw","throughput","5.000456e-01","1.999818e+00"
"m128","phaddd","latency","2.090803e+00","4.782852e-01"
"m128","phaddd","throughput","1.054816e+00","9.480331e-01"
"m128","haddps","latency","2.090766e+00","4.782937e-01"
"m128","haddps","throughput","1.054768e+00","9.480759e-01"
"m128","pinsrd","latency","1.072923e+00","9.320329e-01"
"m128","pinsrd","throughput","1.063962e+00","9.398831e-01"
"m128","pinsrd->pextr","latency","6.000865e+00","1.666427e-01"
"m128","dpps","latency","1.400303e+01","7.141310e-02"
"m128","dpps","throughput","4.028305e+00","2.482434e-01"
"m128","cvtps2dq","latency","4.000691e+00","2.499568e-01"
"m128","cvtps2dq","throughput","5.000500e-01","1.999800e+00"
"m128","pmovmskb","throughput","1.000164e+00","9.998356e-01"
"m128","pmovmskb->movq","latency","4.000541e+00","2.499662e-01"
"m128","movq->movq","latency","4.000481e+00","2.499699e-01"
"m128","movaps [mem]","latency","8.001112e+00","1.249826e-01"
"m128","movaps [mem]","throughput","5.037140e-01","1.985253e+00"
"m128","movdqu [mem+1]","latency","8.001316e+00","1.249794e-01"
"m128","movdqu [mem+1]","throughput","5.038304e-01","1.984795e+00"
"m128","movdqu [mem+63] (cross cache)","latency","1.500199e+01","6.665784e-02"
"m128","movdqu [mem+63] (cross cache)","throughput","1.063922e+00","9.399185e-01"
"m128","movdqu [mem+2MB-1] (cross page)","latency","1.500193e+01","6.665808e-02"
"m128","movdqu [mem+2MB-1] (cross page)","throughput","3.331774e+00","3.001404e-01"
"m128","pcmpistri","throughput","3.000568e+00","3.332702e-01"
"m128","pcmpistri->movq","latency","1.200154e+01","8.332266e-02"
"m128","pcmpistrm","throughput","3.000544e+00","3.332729e-01"
"m128","pcmpistrm","latency","8.795470e+00","1.136949e-01"
"m128","pcmpestri","throughput","4.028481e+00","2.482325e-01"
"m128","pcmpestri->movq","latency","1.300187e+01","7.691200e-02"
"m128","pcmpestrm","throughput","5.028598e+00","1.988626e-01"
"m128","pcmpestrm","latency","1.071130e+01","9.335938e-02"
"m256","movaps [mem]","throughput","5.037632e-01","1.985060e+00"
"m256","movaps [mem] -> movq","latency","9.001260e+00","1.110956e-01"
"m256","vmovdqu [mem+1]","throughput","5.038535e-01","1.984704e+00"
"m256","vmovdqu [mem+1] -> movq","latency","9.001154e+00","1.110969e-01"
"m256","vmovdqu [mem+63] (cross cache)","throughput","1.064193e+00","9.396791e-01"
"m256","vmovdqu [mem+63] (cross cache) -> movq","latency","1.600221e+01","6.249138e-02"
"m256","vmovdqu [mem+2MB-1] (cross page)","throughput","3.333983e+00","2.999416e-01"
"m256","vmovdqu [mem+2MB-1] (cross page) -> movq","latency","1.600223e+01","6.249129e-02"
"m256","vxorps","latency","1.713619e-01","5.835602e+00"
"m256","vxorps","throughput","1.722976e-01","5.803912e+00"
"m256","vmulps","latency","4.000662e+00","2.499586e-01"
"m256","vmulps","throughput","5.002569e-01","1.998973e+00"
"m256","vaddps","latency","2.000155e+00","4.999612e-01"
"m256","vaddps","throughput","5.000424e-01","1.999830e+00"
"m256","vdivps","latency","1.100153e+01","9.089647e-02"
"m256","vdivps","throughput","5.000671e+00","1.999731e-01"
"m256","vdivpd","latency","1.300184e+01","7.691217e-02"
"m256","vdivpd","throughput","8.000942e+00","1.249853e-01"
"m256","vrsqrtps","latency","4.000667e+00","2.499583e-01"
"m256","vrsqrtps","throughput","1.000030e+00","9.999697e-01"
"m256","vrcpps","latency","4.000666e+00","2.499584e-01"
"m256","vrcpps","throughput","1.000258e+00","9.997417e-01"
"m256","vsqrtps","latency","1.200185e+01","8.332051e-02"
"m256","vsqrtps","throughput","6.000753e+00","1.666457e-01"
"m256","vperm2f128","latency","3.000458e+00","3.332825e-01"
"m256","vperm2f128","throughput","1.000178e+00","9.998220e-01"
"m256","vpxor","latency","1.717642e-01","5.821936e+00"
"m256","vpxor","throughput","1.713761e-01","5.835119e+00"
"m256","vpaddd","latency","1.000534e+00","9.994664e-01"
"m256","vpaddd","throughput","3.335022e-01","2.998481e+00"
"m256","vpermps","latency","3.001934e+00","3.331186e-01"
"m256","vpermps","throughput","1.000453e+00","9.995473e-01"
"m256","vpermpd","latency","3.001360e+00","3.331823e-01"
"m256","vpermpd","throughput","1.000236e+00","9.997638e-01"
"m256","vpblendvb","latency","3.000655e+00","3.332605e-01"
"m256","vpblendvb","throughput","1.031735e+00","9.692410e-01"
"m256","vpmovmskb","throughput","1.000162e+00","9.998383e-01"
"m256","vpmovsxwd","latency","3.000533e+00","3.332741e-01"
"m256","vpmovsxwd","throughput","1.000354e+00","9.996464e-01"
