class,inst,l/t,cpi,ipc
"reg64","add","latency","1.000169e+00","9.998311e-01"
"reg64","add","throughput","2.558036e-01","3.909249e+00"
"reg64","lea","latency","1.000196e+00","9.998039e-01"
"reg64","lea","throughput","2.556213e-01","3.912037e+00"
"reg64","xor dst,dst","latency","2.031852e-01","4.921618e+00"
"reg64","xor dst,dst","throughput","2.040231e-01","4.901405e+00"
"reg64","xor","latency","2.031982e-01","4.921304e+00"
"reg64","xor","throughput","2.038752e-01","4.904962e+00"
"reg64","load","latency","5.000351e+00","1.999860e-01"
"reg64","load","throughput","1.125021e+00","8.888721e-01"
"reg64","crc32","latency","3.000287e+00","3.333015e-01"
"reg64","crc32","throughput","1.000299e+00","9.997006e-01"
"reg64","store [mem+0]->load[mem+0]","latency","7.500459e+00","1.333252e-01"
"reg64","store [mem+0]->load[mem+0]","throughput","1.323525e+00","7.555579e-01"
"reg64","store [mem+0]->load[mem+1]","latency","2.200703e+01","4.544003e-02"
"reg64","store [mem+0]->load[mem+1]","throughput","1.700179e+01","5.881733e-02"
"m128","pxor","latency","2.056715e-01","4.862122e+00"
"m128","pxor","throughput","2.115010e-01","4.728110e+00"
"m128","padd","latency","1.000512e+00","9.994880e-01"
"m128","padd","throughput","3.333927e-01","2.999466e+00"
"m128","pmuldq","latency","5.000791e+00","1.999684e-01"
"m128","pmuldq","throughput","5.005131e-01","1.997950e+00"
"m128","loadps","throughput","5.008344e-01","1.996668e+00"
"m128","loadps->movq","latency","8.001279e+00","1.249800e-01"
"m128","movq->movq","latency","4.000192e+00","2.499880e-01"
"m128","movq->movq","throughput","1.000044e+00","9.999561e-01"
"m128","xorps","latency","2.072584e-01","4.824894e+00"
"m128","xorps","throughput","2.056429e-01","4.862798e+00"
"m128","addps","latency","4.000516e+00","2.499678e-01"
"m128","addps","throughput","5.004160e-01","1.998337e+00"
"m128","mulps","latency","4.000294e+00","2.499816e-01"
"m128","mulps","throughput","5.000602e-01","1.999759e+00"
"m128","divps","latency","1.100168e+01","9.089523e-02"
"m128","divps","throughput","3.002296e+00","3.330784e-01"
"m128","divpd","latency","1.300795e+01","7.687609e-02"
"m128","divpd","throughput","4.002316e+00","2.498553e-01"
"m128","rsqrtps","latency","4.001008e+00","2.499370e-01"
"m128","rsqrtps","throughput","1.000521e+00","9.994791e-01"
"m128","rcpps","latency","4.000514e+00","2.499679e-01"
"m128","rcpps","throughput","1.000511e+00","9.994897e-01"
"m128","blendps","latency","1.000056e+00","9.999441e-01"
"m128","blendps","throughput","3.334128e-01","2.999285e+00"
"m128","blendvps","latency","1.000500e+00","9.994999e-01"
"m128","blendvps","throughput","4.056757e-01","2.465023e+00"
"m128","pshufb","latency","1.000033e+00","9.999669e-01"
"m128","pshufb","throughput","5.000413e-01","1.999835e+00"
"m128","shufps","latency","1.000493e+00","9.995069e-01"
"m128","shufps","throughput","5.005555e-01","1.997781e+00"
"m128","pmullw","latency","5.000449e+00","1.999820e-01"
"m128","pmullw","throughput","5.005025e-01","1.997992e+00"
"m128","phaddd","latency","2.083195e+00","4.800318e-01"
"m128","phaddd","throughput","1.070888e+00","9.338048e-01"
"m128","haddps","latency","2.083087e+00","4.800568e-01"
"m128","haddps","throughput","1.071460e+00","9.333062e-01"
"m128","pinsrd","latency","1.087231e+00","9.197678e-01"
"m128","pinsrd","throughput","1.083307e+00","9.230993e-01"
"m128","pinsrd->pextr","latency","6.000469e+00","1.666536e-01"
"m128","dpps","latency","1.600096e+01","6.249624e-02"
"m128","dpps","throughput","4.028420e+00","2.482363e-01"
"m128","cvtps2dq","latency","4.000300e+00","2.499812e-01"
"m128","cvtps2dq","throughput","5.000680e-01","1.999728e+00"
"m128","pmovmskb","throughput","1.000553e+00","9.994476e-01"
"m128","pmovmskb->movq","latency","4.001100e+00","2.499313e-01"
"m128","movq->movq","latency","4.000708e+00","2.499558e-01"
"m128","movaps [mem]","latency","8.000444e+00","1.249931e-01"
"m128","movaps [mem]","throughput","5.000754e-01","1.999698e+00"
"m128","movdqu [mem+1]","latency","8.001185e+00","1.249815e-01"
"m128","movdqu [mem+1]","throughput","5.009916e-01","1.996041e+00"
"m128","movdqu [mem+63] (cross cache)","latency","1.400079e+01","7.142452e-02"
"m128","movdqu [mem+63] (cross cache)","throughput","1.000051e+00","9.999487e-01"
"m128","movdqu [mem+2MB-1] (cross page)","latency","1.500100e+01","6.666224e-02"
"m128","movdqu [mem+2MB-1] (cross page)","throughput","4.246003e+00","2.355156e-01"
"m128","pcmpistri","throughput","3.000299e+00","3.333001e-01"
"m128","pcmpistri->movq","latency","1.200103e+01","8.332620e-02"
"m128","pcmpistrm","throughput","3.000524e+00","3.332751e-01"
"m128","pcmpistrm","latency","8.905059e+00","1.122957e-01"
"m128","pcmpestri","throughput","4.028171e+00","2.482516e-01"
"m128","pcmpestri->movq","latency","1.200083e+01","8.332754e-02"
"m128","pcmpestrm","throughput","5.028738e+00","1.988571e-01"
"m128","pcmpestrm","latency","1.003444e+01","9.965680e-02"
"m256","movaps [mem]","throughput","5.001077e-01","1.999569e+00"
"m256","movaps [mem] -> movq","latency","9.000557e+00","1.111042e-01"
"m256","vmovdqu [mem+1]","throughput","5.000693e-01","1.999723e+00"
"m256","vmovdqu [mem+1] -> movq","latency","9.000567e+00","1.111041e-01"
"m256","vmovdqu [mem+63] (cross cache)","throughput","1.000050e+00","9.999496e-01"
"m256","vmovdqu [mem+63] (cross cache) -> movq","latency","1.400092e+01","7.142388e-02"
"m256","vmovdqu [mem+2MB-1] (cross page)","throughput","4.246317e+00","2.354982e-01"
"m256","vmovdqu [mem+2MB-1] (cross page) -> movq","latency","1.600110e+01","6.249570e-02"
"m256","vxorps","latency","2.223615e-01","4.497182e+00"
"m256","vxorps","throughput","2.056953e-01","4.861561e+00"
"m256","vmulps","latency","4.000524e+00","2.499673e-01"
"m256","vmulps","throughput","5.000911e-01","1.999636e+00"
"m256","vaddps","latency","4.000529e+00","2.499669e-01"
